team1,team2,winner,margin,match_id,MatchDay
Mumbai,Super Kings,Super Kings,3 wickets,T202326,21-4-22
Punjab Kings,Capitals,Capitals,9 wickets,T203741,20-4-22
RCB,Super Giants,RCB,18 runs,T204535,19-4-22
Royals,KKR,Royals,7 runs,T206892,18-4-22
Super Kings,Titans,Titans,3 wickets,T206030,17-4-22
Punjab Kings,Sunrisers,Sunrisers,7 wickets,T208958,17-4-22
RCB,Capitals,RCB,16 runs,T205793,16-4-22
Super Giants,Mumbai,Super Giants,18 runs,T204555,16-4-22
KKR,Sunrisers,Sunrisers,7 wickets,T208105,15-4-22
Titans,Royals,Titans,37 runs,T207043,14-4-22
Punjab Kings,Mumbai,Punjab Kings,12 runs,T208002,13-4-22
Super Kings,RCB,Super Kings,23 runs,T203601,12-4-22
Titans,Sunrisers,Sunrisers,8 wickets,T208211,11-4-22
Royals,Super Giants,Royals,3 runs,T207999,10-4-22
Capitals,KKR,Capitals,44 runs,T208705,10-4-22
Mumbai,RCB,RCB,7 wickets,T204746,9-4-22
Super Kings,Sunrisers,Sunrisers,8 wickets,T209199,9-4-22
Punjab Kings,Titans,Titans,6 wickets,T202634,8-4-22
Capitals,Super Giants,Super Giants,6 wickets,T204296,7-4-22
Mumbai,KKR,KKR,5 wickets,T207856,6-4-22
Royals,RCB,RCB,4 wickets,T203456,5-4-22
Super Giants,Sunrisers,Super Giants,12 runs,T204825,4-4-22
Punjab Kings,Super Kings,Punjab Kings,54 runs,T206118,3-4-22
Titans,Capitals,Titans,14 runs,T205181,2-4-22
Royals,Mumbai,Royals,23 runs,T209847,2-4-22
Punjab Kings,KKR,KKR,6 wickets,T203227,1-4-22
Super Kings,Super Giants,Super Giants,6 wickets,T207058,31-3-22
KKR,RCB,RCB,3 wickets,T203578,30-3-22
Royals,Sunrisers,Royals,61 runs,T205314,29-3-22
Super Giants,Titans,Titans,5 wickets,T202349,28-3-22
RCB,Punjab Kings,Punjab Kings,5 wickets,T208141,27-3-22
Mumbai,Capitals,Capitals,4 wickets,T205838,27-3-22
Super Kings,KKR,KKR,6 wickets,T201512,26-3-22
Titans,Super Kings,Super Kings,5 wickets,T208201,#VALUE!
Titans,Mumbai,Titans,62 runs,T203496,26-5-23
Mumbai,Super Giants,Mumbai,81 runs,T203571,24-5-23
Super Kings,Titans,Super Kings,15 runs,T206084,23-5-23
RCB,Titans,Titans,6 wickets,T201605,21-5-23
Sunrisers,Mumbai,Mumbai,8 wickets,T206817,21-5-23
Super Giants,KKR,Super Giants,1 run,T203370,20-5-23
Super Kings,Capitals,Super Kings,77 runs,T206925,20-5-23
Punjab Kings,Royals,Royals,4 wickets,T205037,19-5-23
Sunrisers,RCB,RCB,8 wickets,T202467,18-5-23
Capitals,Punjab Kings,Capitals,15 runs,T201082,17-5-23
Super Giants,Mumbai,Super Giants,5 runs,T208249,16-5-23
Titans,Sunrisers,Titans,34 runs,T208692,15-5-23
Super Kings,KKR,KKR,6 wickets,T206211,14-5-23
RCB,Royals,RCB,112 runs,T204453,14-5-23
Punjab Kings,Capitals,Punjab Kings,31 runs,T208032,13-5-23
Sunrisers,Super Giants,Super Giants,7 wickets,T204737,13-5-23
Mumbai,Titans,Mumbai,27 runs,T203656,12-5-23
KKR,Royals,Royals,9 wickets,T205338,11-5-23
Super Kings,Capitals,Super Kings,27 runs,T209224,10-5-23
RCB,Mumbai,Mumbai,6 wickets,T205430,9-5-23
Punjab Kings,KKR,KKR,5 wickets,T201181,8-5-23
Royals,Sunrisers,Sunrisers,4 wickets,T201576,7-5-23
Titans,Super Giants,Titans,56 runs,T201503,7-5-23
RCB,Capitals,Capitals,7 wickets,T208517,6-5-23
Mumbai,Super Kings,Super Kings,6 wickets,T204004,6-5-23
Royals,Titans,Titans,9 wickets,T206195,5-5-23
KKR,Sunrisers,KKR,5 runs,T208611,4-5-23
Punjab Kings,Mumbai,Mumbai,6 wickets,T205138,3-5-23
Capitals,Titans,Capitals,5 runs,T203464,2-5-23
RCB,Super Giants,RCB,18 runs,T203494,1-5-23
Royals,Mumbai,Mumbai,6 wickets,T204100,30-4-23
Super Kings,Punjab Kings,Punjab Kings,4 wickets,T204443,30-4-23
Sunrisers,Capitals,Sunrisers,9 runs,T207344,29-4-23
KKR,Titans,Titans,7 wickets,T201505,29-4-23
Super Giants,Punjab Kings,Super Giants,56 runs,T204958,28-4-23
Royals,Super Kings,Royals,32 runs,T204283,27-4-23
KKR,RCB,KKR,21 runs,T202291,26-4-23
Titans,Mumbai,Titans,55 runs,T208781,25-4-23
Capitals,Sunrisers,Capitals,7 runs,T206316,24-4-23
Super Kings,KKR,Super Kings,49 runs,T207135,23-4-23
RCB,Royals,RCB,7 runs,T205220,23-4-23
Punjab Kings,Mumbai,Punjab Kings,13 runs,T204462,22-4-23
Titans,Super Giants,Titans,7 runs,T208595,22-4-23
Sunrisers,Super Kings,Super Kings,7 wickets,T208568,21-4-23
KKR,Capitals,Capitals,4 wickets,T206506,20-4-23
